t,v,calc,tadj,vadj,,,,,A,947
-0.000006,0,-1914666643,-1.5E-09,0,,,,,g,6490000
-0.000005,0.02,-62176667.29,-1.25E-09,0.1,,,,,al,1180
-0.000004,0.02,-1938352.417,-0.000000001,0.1,,,,,,
-0.000003,0.04,-56651.20022,-7.5E-10,0.2,,,,,,
-0.000002,0.02,-1471.745669,-5E-10,0.1,,,,,,
-0.000001,0.02,-28.67592787,-2.5E-10,0.1,,,,,,
0,0.02,0,0,0.1,,,,,,
0.000001,0.02,0.043545802,2.5E-10,0.1,,,,,,
0.000002,0.04,0.003393832,5E-10,0.2,,,,,,
0.000005,0.16,5.02078E-07,1.25E-09,0.8,,,,,,
0.000006,0.16,2.34783E-08,1.5E-09,0.8,,,,,,
0.000007,0.22,1.0674E-09,1.75E-09,1.1,,,,,,
0.000008,0.22,4.75369E-11,0.000000002,1.1,,,,,,
0.000009,0.24,2.08399E-12,2.25E-09,1.2,,,,,,
0.00001,0.32,9.02331E-14,2.5E-09,1.6,,,,,,
0.000011,0.34,3.86786E-15,2.75E-09,1.7,,,,,,
0.000012,0.38,1.64426E-16,0.000000003,1.9,,,,,,
0.000013,0.4,6.94138E-18,3.25E-09,2,,,,,,
0.000014,0.44,2.91301E-19,3.5E-09,2.2,,,,,,
0.000015,0.48,1.21623E-20,3.75E-09,2.4,,,,,,
0.000016,0.5,5.05541E-22,0.000000004,2.5,,,,,,
0.000017,0.5,2.09313E-23,4.25E-09,2.5,,,,,,
0.000018,0.5,8.63637E-25,4.5E-09,2.5,,,,,,
0.000019,0.54,3.55241E-26,4.75E-09,2.7,,,,,,
0.00002,0.58,1.45717E-27,0.000000005,2.9,,,,,,
0.000021,0.62,5.96224E-29,5.25E-09,3.1,,,,,,
0.000022,0.64,2.43401E-30,5.5E-09,3.2,,,,,,
0.000023,0.64,9.91603E-32,5.75E-09,3.2,,,,,,
0.000024,0.66,4.0321E-33,0.000000006,3.3,,,,,,
0.000025,0.72,1.6367E-34,6.25E-09,3.6,,,,,,
0.000026,0.74,6.63303E-36,6.5E-09,3.7,,,,,,
0.000027,0.76,2.68418E-37,6.75E-09,3.8,,,,,,
0.000028,0.8,1.08471E-38,0.000000007,4,,,,,,
0.000029,0.8,4.37787E-40,7.25E-09,4,,,,,,
0.00003,0.86,1.7648E-41,7.5E-09,4.3,,,,,,
0.000031,0.88,7.1063E-43,7.75E-09,4.4,,,,,,
0.000032,0.9,2.85851E-44,0.000000008,4.5,,,,,,
0.000033,0.94,1.14871E-45,8.25E-09,4.7,,,,,,
0.000034,0.94,4.61195E-47,8.5E-09,4.7,,,,,,
0.000035,0.96,1.85004E-48,8.75E-09,4.8,,,,,,
0.000036,1,7.41519E-50,0.000000009,5,,,,,,
0.000037,1.02,2.96981E-51,9.25E-09,5.1,,,,,,
0.000038,1.08,1.18855E-52,9.5E-09,5.4,,,,,,
0.000039,1.04,4.75341E-54,9.75E-09,5.2,,,,,,
0.00004,1.08,1.8998E-55,0.00000001,5.4,,,,,,
0.000041,1.1,7.58817E-57,1.025E-08,5.5,,,,,,
0.000042,1.1,3.02906E-58,1.05E-08,5.5,,,,,,
0.000043,1.1,1.20846E-59,1.075E-08,5.5,,,,,,
0.000044,1.08,4.81863E-61,0.000000011,5.4,,,,,,
0.000045,1.12,1.92039E-62,1.125E-08,5.6,,,,,,
0.000046,1.12,7.64961E-64,1.15E-08,5.6,,,,,,
0.000047,1.12,3.04568E-65,1.175E-08,5.6,,,,,,
0.000048,1.12,1.21208E-66,0.000000012,5.6,,,,,,
0.000049,1.12,4.82161E-68,1.225E-08,5.6,,,,,,
0.00005,1.12,1.91721E-69,1.25E-08,5.6,,,,,,
0.000051,1.1,7.62035E-71,1.275E-08,5.5,,,,,,
0.000052,1.1,3.02769E-72,0.000000013,5.5,,,,,,
0.000053,1.08,1.20251E-73,1.325E-08,5.4,,,,,,
0.000054,1.08,4.7743E-75,1.35E-08,5.4,,,,,,
0.000055,1.1,1.89488E-76,1.375E-08,5.5,,,,,,
0.000056,1.1,7.51814E-78,0.000000014,5.5,,,,,,
0.000057,1.08,2.98195E-79,1.425E-08,5.4,,,,,,
0.000058,1.08,1.18238E-80,1.45E-08,5.4,,,,,,
0.000059,1.06,4.68687E-82,1.475E-08,5.3,,,,,,
0.00006,1.08,1.85731E-83,0.000000015,5.4,,,,,,
0.000061,1.08,7.3581E-85,1.525E-08,5.4,,,,,,
0.000062,1.06,2.91427E-86,1.55E-08,5.3,,,,,,
0.000063,1.06,1.15393E-87,1.575E-08,5.3,,,,,,
0.000064,1.06,4.56795E-89,0.000000016,5.3,,,,,,
0.000065,1.06,1.80782E-90,1.625E-08,5.3,,,,,,
0.000066,1.06,7.15299E-92,1.65E-08,5.3,,,,,,
0.000067,1.02,2.82956E-93,1.675E-08,5.1,,,,,,
0.000068,1.02,1.11906E-94,0.000000017,5.1,,,,,,
0.000069,1,4.42482E-96,1.725E-08,5,,,,,,
0.00007,0.96,1.74922E-97,1.75E-08,4.8,,,,,,
0.000071,0.98,6.9136E-99,1.775E-08,4.9,,,,,,
0.000072,0.94,2.732E-100,0.000000018,4.7,,,,,,
0.000073,0.92,1.0794E-101,1.825E-08,4.6,,,,,,
0.000074,0.9,4.2636E-103,1.85E-08,4.5,,,,,,
0.000075,0.86,1.6839E-104,1.875E-08,4.3,,,,,,
0.000076,0.84,6.649E-106,0.000000019,4.2,,,,,,
0.000077,0.84,2.625E-107,1.925E-08,4.2,,,,,,
0.000078,0.78,1.0362E-108,1.95E-08,3.9,,,,,,
0.000079,0.76,4.0895E-110,1.975E-08,3.8,,,,,,
0.00008,0.72,1.6137E-111,0.00000002,3.6,,,,,,
0.000081,0.68,6.3668E-113,2.025E-08,3.4,,,,,,
0.000082,0.68,2.5116E-114,2.05E-08,3.4,,,,,,
0.000083,0.64,9.9063E-116,2.075E-08,3.2,,,,,,
0.000084,0.62,3.9067E-117,0.000000021,3.1,,,,,,
0.000085,0.58,1.5404E-118,2.125E-08,2.9,,,,,,
0.000086,0.58,6.0733E-120,2.15E-08,2.9,,,,,,
0.000087,0.54,2.3941E-121,2.175E-08,2.7,,,,,,
0.000088,0.52,9.4363E-123,0.000000022,2.6,,,,,,
0.000089,0.46,3.7188E-124,2.225E-08,2.3,,,,,,
0.00009,0.46,1.4654E-125,2.25E-08,2.3,,,,,,
0.000091,0.46,5.7736E-127,2.275E-08,2.3,,,,,,
0.000092,0.4,2.2745E-128,0.000000023,2,,,,,,
0.000093,0.4,8.9595E-130,2.325E-08,2,,,,,,
0.000094,0.36,3.5288E-131,2.35E-08,1.8,,,,,,
0.000095,0.34,1.3897E-132,2.375E-08,1.7,,,,,,
0.000096,0.32,5.4721E-134,0.000000024,1.6,,,,,,
0.000097,0.28,2.1545E-135,2.425E-08,1.4,,,,,,
0.000098,0.24,8.4821E-137,2.45E-08,1.2,,,,,,
0.000099,0.22,3.3389E-138,2.475E-08,1.1,,,,,,
0.0001,0.18,1.3142E-139,0.000000025,0.9,,,,,,
0.000101,0.16,5.1723E-141,2.525E-08,0.8,,,,,,
0.000102,0.14,2.0354E-142,2.55E-08,0.7,,,,,,
0.000103,0.1,8.0091E-144,2.575E-08,0.5,,,,,,
0.000104,0.06,3.1512E-145,0.000000026,0.3,,,,,,
0.000105,0.02,1.2397E-146,2.625E-08,0.1,,,,,,
0.000106,0,4.8768E-148,2.65E-08,0,,,,,,
0.000107,-0.04,1.9182E-149,2.675E-08,-0.2,,,,,,
0.000108,-0.06,7.5446E-151,0.000000027,-0.3,,,,,,
